financial_year,year_start,hh_metered_ml_d,hh_unmetered_ml_d,leakage_l_prop_d,leakage_ml_d,metered_occupancy_h_prop,metered_properties_000,metering_penetration,nhh_metered_ml_d,nhh_unmetered_ml_d,pcc_avg_lhd,pcc_metered_lhd,pcc_unmetered_lhd,population_000,total_properties_000,unmetered_occupancy_h_prop,climate_change_supply_impact_ml_d,deployable_output_ml_d,other_supply_change_ml_d,outage_allowance_ml_d,raw_treatment_losses_ml_d,sustainability_reduction_ml_d,distribution_input_ml_d,published_sdb_ml_d,target_headroom_ml_d,total_wafu_ml_d,wafu_own_sources_ml_d,wrz,household_consumption_ml_d,non_household_consumption_ml_d,customer_consumption_ml_d,residual_other_demand_ml_d,calculated_sdb_ml_d,sdb_reconciliation_error_ml_d,di_reconciliation_error_ml_d,scenario_name,scenario_description,ramp_factor,scenario_population_000,scenario_pcc_lhd,scenario_household_consumption_ml_d,scenario_non_household_consumption_ml_d,scenario_leakage_ml_d,scenario_residual_other_demand_ml_d,scenario_distribution_input_ml_d,demand_change_vs_baseline_ml_d,demand_change_vs_baseline_pct,scenario_sdb_ml_d,sdb_improvement_vs_baseline_ml_d,deficit_flag
2020-21,2020,293.2714825526864,462.845367200404,119.73414022623872,286.08219902588684,2.3707809616323723,1034.4383369736977,0.46,178.63009817655984,1.0187867859152795,135.9944923771094,119.58419826592674,148.94551011637424,5776.814061638896,2389.311841095046,2.7915548383797617,0.0,1457.5003124364475,0.0,34.22718361689675,52.713946583366585,0.0,1278.8418746127709,38.3104879861002,24.50681963731297,1341.659182236184,1362.559182236184,Strategic Grid,756.1168497530905,179.6488849624751,935.7657347155656,56.99394087131844,38.3104879861002,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.0,5776.814061638896,135.9944923771094,756.1168497530905,179.6488849624751,286.08219902588684,56.99394087131844,1278.8418746127709,0.0,0.0,38.3104879861002,0.0,Surplus
2021-22,2021,288.9505801353781,440.7652302905986,116.06906346612524,277.80420474978416,2.370525240910691,1066.8334219112237,0.5093,209.69570993492985,1.100584480100717,129.93422495508386,114.25688348797978,142.77718403777314,5709.813043939368,2393.4388410987854,2.79129911765808,0.0,1447.50031243645,0.0,50.87830895166869,38.08,0.0,1264.08413261521,51.60992822625093,21.947942643317955,1337.6420034847788,1358.542003484779,Strategic Grid,729.7158104259768,210.79629441503056,940.5121048410074,45.76782302441836,51.60992822625093,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.0,5709.813043939368,129.93422495508386,729.7158104259768,210.79629441503056,277.80420474978416,45.76782302441836,1264.08413261521,0.0,0.0,51.60992822625093,0.0,Surplus
2022-23,2022,300.720949170895,377.3681485678252,111.02966300082988,272.13,2.171906553723744,1158.161447666915,0.5004179059192034,234.53635377957315,4.732947889698903,130.84891417157252,119.6,141.5,5276.002459310545,2450.966639410281,2.530237229190257,-12.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,0.0,1224.5471177292657,-38.19699091001157,112.30648982052196,1298.656616639776,1292.756616639776,Strategic Grid,678.0890977387202,239.26930166927204,917.3583994079922,35.05871832127343,-38.19699091001157,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.0,5276.002459310545,130.84891417157252,678.0890977387202,239.26930166927204,272.13,35.05871832127343,1224.5471177292657,0.0,0.0,-38.19699091001155,2.1316282072803006e-14,Deficit
2023-24,2023,310.1711028811108,369.8879465019877,110.13134847515396,272.13,2.167878691539847,1197.1358536665373,0.5129002455868192,235.24731654386596,4.732947889698903,130.39499960245757,119.5,141.2,5309.149751075058,2470.958575989774,2.532345690684976,-14.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,0.0,1227.228032137937,-61.83512089915379,131.2637054009932,1296.656616639776,1290.756616639776,Strategic Grid,680.0590493830985,239.98026443356483,920.0393138166633,35.05871832127343,-61.83512089915379,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.0,5309.149751075058,130.39499960245757,680.0590493830985,239.98026443356483,272.13,35.05871832127343,1227.2280321379367,-2.2737367544323206e-13,-1.8527418661316556e-16,-61.83512089915379,0.0,Deficit
2024-25,2024,319.5805349444884,362.6246871980567,109.25698843372982,272.13,2.164075559192505,1235.5218396926846,0.5249725186966552,235.1241940564701,4.732947889698903,129.98676907815624,119.5,140.9,5342.039627293122,2490.733122898233,2.534644426137303,-16.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,0.0,1229.2510824099872,-83.11021488538009,148.51574911516892,1294.656616639776,1288.756616639776,Strategic Grid,682.205222142545,239.85714194616895,922.062364088714,35.058718321273204,-83.11021488538009,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.0,5342.039627293122,129.98676907815624,682.205222142545,239.85714194616895,272.13,35.058718321273204,1229.2510824099872,0.0,0.0,-83.11021488538009,0.0,Deficit
2025-26,2025,328.7344812235517,355.70433865376947,108.46706685547254,272.13,2.161568093907124,1271.9118771519943,0.5363755019848727,236.01320337134,4.732947889698903,129.61155245925514,119.6,140.5,5374.466016098872,2508.872120259331,2.5386130421642266,-18.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-5.0,1232.3736894596336,-89.78383096738165,145.0667581475241,1287.656616639776,1281.756616639776,Strategic Grid,684.4388198773212,240.74615126103885,925.18497113836,35.05871832127366,-89.78383096738165,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.0,5374.466016098872,129.61155245925514,684.4388198773212,240.74615126103885,272.13,35.05871832127366,1232.3736894596336,0.0,0.0,-89.78383096738165,0.0,Deficit
2026-27,2026,337.8676919866098,348.9891028179515,107.69970344674228,272.13,2.1594423878054423,1307.6830565059454,0.5474097513851043,236.2071837252849,4.732947889698903,129.27285092617686,119.6,140.2,5407.006133512317,2526.747904506244,2.542966177213869,-20.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-5.0,1234.9856447408183,-109.03637788387503,159.70734978283258,1285.656616639776,1279.756616639776,Strategic Grid,686.8567948045613,240.94013161498376,927.7969264195452,35.05871832127343,-109.03637788387503,0.0,-2.273736754432321e-13,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.05263157894736842,5407.006133512317,129.27285092617686,686.8567948045613,240.94013161498376,272.13,35.05871832127343,1234.9856447408183,0.0,0.0,-109.03637788387482,2.1316282072803006e-13,Deficit
2027-28,2027,346.8538797079624,342.4764923982896,106.9756658870588,272.13,2.157731838925487,1342.3339022026948,0.5579970260128786,236.3979445959353,4.732947889698903,128.96807146147947,119.8,139.9,5438.742218308759,2543.849554414603,2.5478234600220437,-22.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-5.0,1237.6499829131596,-138.10274828034116,184.1093820069576,1283.656616639776,1277.756616639776,Strategic Grid,689.3303721062521,241.13089248563415,930.4612645918862,35.05871832127343,-138.10274828034116,0.0,-2.273736754432321e-13,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.10526315789473684,5438.742218308759,128.96807146147947,689.3303721062521,241.13089248563415,272.13,35.05871832127343,1237.6499829131594,-2.2737367544323206e-13,-1.8371403755692198e-16,-138.10274828034093,2.2737367544323206e-13,Deficit
2028-29,2028,355.86325226189524,336.1082706572855,106.25801089174767,272.13,2.155830574618583,1376.7228416440194,0.568310981725337,235.9405150066552,4.732947889698903,128.71149747570914,119.9,139.6,5469.91682934028,2561.030436352112,2.552349226135503,-24.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-5.0,1239.833704136808,-155.51916896129424,197.34208146426215,1281.656616639776,1275.756616639776,Strategic Grid,691.9715229191808,240.6734628963541,932.6449858155348,35.05871832127332,-155.51916896129424,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.15789473684210525,5469.91682934028,128.71149747570914,691.9715229191808,240.6734628963541,272.13,35.05871832127332,1239.8337041368081,2.2737367544323206e-13,1.833904617083573e-16,-155.5191689612942,2.842170943040401e-14,Deficit
2029-2030,2029,364.6079558642256,329.9730829644918,105.6098502620732,272.13,2.154848406056683,1409.3188558929207,0.5780941491039444,236.76500350591965,4.732947889698903,128.47349881195706,120.1,139.3,5500.187904643919,2576.748279868813,2.55807229593119,-26.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-5.0,1243.2677085456094,-177.92432380012502,214.31323189429173,1279.656616639776,1273.756616639776,Strategic Grid,694.5810388287174,241.49795139561851,936.078990224336,35.05871832127343,-177.92432380012502,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.21052631578947367,5500.187904643919,128.47349881195706,694.5810388287174,241.49795139561851,272.13,35.05871832127343,1243.2677085456094,0.0,0.0,-177.92432380012502,0.0,Deficit
